cod_canton,lng,lat
610,-82.9347770326272,8.55136509992129
607,-83.2417755122793,8.55174944136211
608,-82.9225375019457,8.90770110221643
605,-83.5057307263721,8.85125754964324
603,-83.2504815342608,9.10880782510938
119,-83.6742141078667,9.36071209993342
606,-84.0538535463948,9.42201370344483
704,-83.0904452427826,9.47835768543657
609,-84.320326399463,9.5618372976041
105,-84.0462133279599,9.58899394683697
117,-83.912845018048,9.58723645125968
611,-84.6120523586968,9.71692310636943
120,-84.0693399966413,9.69636543401591
104,-84.38753093494,9.74226422666047
106,-84.1346736141229,9.74601740903423
103,-84.0463651408663,9.81443915355701
112,-84.2308834357891,9.74235880298956
116,-84.5078121446872,9.75771790315661
308,-83.9297340178837,9.74714514600007
301,-83.9207736501142,9.81827895896278
601,-85.0189809425236,9.88742983822372
302,-83.765350909043,9.71764933746312
304,-83.7022466628127,9.80820473931717
305,-83.5488623030918,9.8239958304425
107,-84.268105118592,9.88421150992269
307,-83.8668133758879,10.0108276670386
110,-84.1153917680666,9.88461444783358
701,-83.1543718666875,9.77343230410842
303,-83.9870112688374,9.91239399377713
118,-84.0270506221159,9.9181952522438
209,-84.5793305306164,9.89590428123723
101,-84.0988166025957,9.93196552171262
102,-84.1458860966925,9.91772482974219
306,-83.8050725200237,9.94119581167622
109,-84.1896214417336,9.91851365955293
509,-85.2810729223768,9.91125299102136
115,-84.0160926010014,9.94416782621906
108,-83.9847549339228,9.95982029334812
113,-84.0792452808473,9.95907343680897
204,-84.5508794512361,9.95795104775862
502,-85.4472611654426,10.1149651227735
205,-84.4036120054632,9.97604201097381
201,-84.2248578430299,10.0922326405764
114,-84.0109671665194,10.0219728698762
602,-84.6547055219206,9.98758527201265
111,-83.9478535129375,10.0436748977544
403,-84.0630744785581,9.98672698934507
407,-84.1805269039703,9.98231770256676
409,-84.0971530432486,9.99121398736136
202,-84.5961750954082,10.223714770673
401,-84.0745866128711,10.1495878608503
511,-85.4141593171731,9.98515691421481
408,-84.1548186091792,10.0064283690533
405,-84.0788421745838,10.0488351249108
402,-84.1122575165414,10.0697695713056
406,-84.0392524873227,10.0297195095243
404,-84.1488157414183,10.080861652922
207,-84.4364958604987,10.0462214259127
208,-84.240567358978,10.106864040877
203,-84.2998530480239,10.0883717622284
206,-84.3863962818322,10.1156539869285
604,-84.7234655411846,10.1219187473612
212,-84.3023126077423,10.1933992403816
703,-83.4801208601183,10.1364747481201
705,-83.2913745406692,10.0171512577857
503,-85.6872856976188,10.2434171225866
211,-84.4136570313715,10.220760106234
706,-83.6472720056115,10.2020137190309
507,-85.0039938336442,10.2482389583486
702,-83.6775091891523,10.4672271320527
210,-84.4366938397239,10.5890368727187
506,-85.1030304337943,10.4444904752048
508,-84.9117242165758,10.4671907651068
410,-83.9954935046655,10.4981460205841
505,-85.6020164899788,10.4601594975247
216,-84.2086872005805,10.411274189496
504,-85.2621188331037,10.5286346879848
215,-84.8417795903621,10.6953199460631
214,-84.66585518633,10.8832183881982
501,-85.4902014582005,10.6941157474854
213,-85.1490820655201,10.8813189388372
510,-85.5801640892906,11.0018526793758
